id_transaccion,id_comercio_comercio,fecha_transaccion,tipo_operacion,id_operacion,estado,monto,moneda,id_producto,motivo_venta_observada,numero_serie_terminal,codigo_autorizacion,numero_referencia,numero_lote,monto_dcc,dcc,numero_tarjeta,origen_tarjeta,tipo_tarjeta,marca_tarjeta,tipo_captura,banco_emisor,numero_cuenta,banco_pagador,numero_cuotas,transaccion_cuotas_sin_interes,nombre_programa,id_detalle_transaccion,importe_descuento,cashback,monto_cashback,comision_cuota_sin_interes,paga_rapido,qr,importe_propina,RUC,codigo_comercio,nombre_comercio,direccion,telefono,email,fecha_registro,ciudad,distrito,provincia,departamento,tipo_comercio,sector,ingresos_anuales,fecha_apertura,numero_empleados,frecuencia_transacciones,nivel_lealtad,id_comercio_producto,nombre_producto,categoria,precio_unitario,banco,comision,fecha,descripcion,es_dia_festivo,comision_aplicada,DayOfMonth
1,1,2024-10-05 00:26:43.323858,Venta,OP000001,Completado,55.23,Soles,7,Sin observaciones,165131,868985,693941772774,2191,1.07,NO,4639******9605,Internacional,Crédito,MasterCard,QR,Interbank,1695364423,BCP,8,SI,Paga Rápido,1,1.67,NO,8.6,1.37,NO,SI,14.8,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,1,Producto G,Categoría X,16.39,Interbank,0.018,,,False,0.9941399999999999,5
1,1,2024-10-05 00:26:43.323858,Venta,OP000001,Completado,55.23,Soles,7,Sin observaciones,165131,868985,693941772774,2191,1.07,NO,4639******9605,Internacional,Crédito,MasterCard,QR,Interbank,1695364423,BCP,8,SI,Paga Rápido,201,33.41,NO,9.88,2.7,NO,NO,7.29,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,1,Producto G,Categoría X,16.39,Interbank,0.018,,,False,0.9941399999999999,5
2,2,2024-07-02 00:26:43.337182,Venta,OP000002,Completado,26.8,Soles,5,,334145,386662,717294102338,3015,3.81,SI,4138******2091,Internacional,Crédito,Visa,QR,BBVA,3459135248,BBVA,5,SI,Paga Rápido,2,13.29,SI,4.73,4.1,NO,SI,10.73,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,2,Producto E,Categoría X,61.12,BBVA,0.017,,,False,0.45560000000000006,2
2,2,2024-07-02 00:26:43.337182,Venta,OP000002,Completado,26.8,Soles,5,,334145,386662,717294102338,3015,3.81,SI,4138******2091,Internacional,Crédito,Visa,QR,BBVA,3459135248,BBVA,5,SI,Paga Rápido,202,83.37,SI,7.12,5.05,NO,SI,6.04,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,2,Producto E,Categoría X,61.12,BBVA,0.017,,,False,0.45560000000000006,2
3,5,2024-05-30 00:26:43.337182,Venta,OP000003,Rechazado,165.6,Soles,5,,527167,968986,722566414461,2440,4.29,SI,4344******6168,Nacional,Débito,MasterCard,QR,BCP,9951217178,Interbank,6,SI,Paga Rápido,3,7.02,SI,5.31,2.4,SI,SI,8.66,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,2,Producto E,Categoría X,61.12,BCP,0.015,,,False,2.484,30
3,5,2024-05-30 00:26:43.337182,Venta,OP000003,Rechazado,165.6,Soles,5,,527167,968986,722566414461,2440,4.29,SI,4344******6168,Nacional,Débito,MasterCard,QR,BCP,9951217178,Interbank,6,SI,Paga Rápido,203,96.39,SI,12.9,4.84,NO,SI,14.52,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,2,Producto E,Categoría X,61.12,BCP,0.015,,,False,2.484,30
4,2,2023-12-14 00:26:43.337182,Venta,OP000004,Completado,87.75,Soles,5,,331156,385663,521252279767,1885,9.56,NO,4759******5891,Internacional,Débito,Visa,QR,Interbank,8414083139,BBVA,0,NO,Cashback Program,4,13.02,SI,5.47,2.0,SI,SI,8.06,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,2,Producto E,Categoría X,61.12,Interbank,0.012,,,False,1.053,14
4,2,2023-12-14 00:26:43.337182,Venta,OP000004,Completado,87.75,Soles,5,,331156,385663,521252279767,1885,9.56,NO,4759******5891,Internacional,Débito,Visa,QR,Interbank,8414083139,BBVA,0,NO,Cashback Program,204,80.67,NO,5.13,3.91,NO,SI,3.6,205500002,C002,Comercio 2,Dirección X,999999999,correo2@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,140414.51,2015-01-01,13,Mensual,Plata,2,Producto E,Categoría X,61.12,Interbank,0.012,,,False,1.053,14
5,1,2024-02-10 00:26:43.337182,Venta,OP000005,Rechazado,183.13,Soles,7,Observado,908637,693224,824711473691,6736,2.79,NO,4488******4493,Internacional,Débito,MasterCard,Magstripe,Interbank,5679582864,Scotiabank,4,SI,,5,13.99,SI,8.77,3.14,NO,NO,5.73,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,1,Producto G,Categoría X,16.39,Interbank,0.012,,,False,2.19756,10
5,1,2024-02-10 00:26:43.337182,Venta,OP000005,Rechazado,183.13,Soles,7,Observado,908637,693224,824711473691,6736,2.79,NO,4488******4493,Internacional,Débito,MasterCard,Magstripe,Interbank,5679582864,Scotiabank,4,SI,,205,93.52,NO,17.77,2.89,SI,SI,14.22,205500001,C001,Comercio 1,Dirección X,999999999,correo1@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,132322.03,2015-01-01,10,Mensual,Plata,1,Producto G,Categoría X,16.39,Interbank,0.012,,,False,2.19756,10
6,5,2023-12-26 00:26:43.337182,Venta,OP000006,Completado,44.98,Soles,4,Sin observaciones,909383,348197,182002857424,6350,9.17,SI,4888******2367,Nacional,Débito,MasterCard,CHIP,Scotiabank,5244955177,Interbank,8,NO,Paga Rápido,6,17.19,SI,1.35,4.15,NO,NO,1.77,205500005,C005,Comercio 5,Dirección X,999999999,correo5@example.com,2024-11-14,Lima,San Isidro,Lima,Lima,Minorista,Alimentos,94630.19,2015-01-01,34,Mensual,Plata,4,Producto D,Categoría X,57.6,Scotiabank,0.014,,,False,0.62972,26
